,real_imps,win_imps,clks,real_clks,rewards,budget,spent,CPM
63,437520,26125,204,395,3606173.205344571,16000000.0,1270720,48.64
64,437520,26125,204,395,3606173.205344571,16000000.0,1270720,48.64
65,437520,26039,204,395,3602054.4448118703,16000000.0,1269600,48.75763278159683
66,437520,26125,204,395,3606173.205344571,16000000.0,1270720,48.64
67,437520,26125,204,395,3606173.205344571,16000000.0,1270720,48.64
68,437520,26125,204,395,3606173.205344571,16000000.0,1270720,48.64
69,437520,26125,204,395,3606173.205344571,16000000.0,1270720,48.64
70,437520,26125,204,395,3606173.205344571,16000000.0,1270720,48.64
71,437520,26125,204,395,3606173.205344571,16000000.0,1270720,48.64
72,437520,26125,204,395,3606173.205344571,16000000.0,1270720,48.64
73,437520,26125,204,395,3606173.205344571,16000000.0,1270720,48.64
74,437520,26125,204,395,3606173.205344571,16000000.0,1270720,48.64
75,437520,26125,204,395,3606173.205344571,16000000.0,1270720,48.64
76,437520,26039,204,395,3602054.4448118703,16000000.0,1269600,48.75763278159683
77,437520,26039,204,395,3602054.4448118703,16000000.0,1269600,48.75763278159683
78,437520,26441,204,395,3621372.02201897,16000000.0,1275499,48.23943875042548
79,437520,26441,204,395,3621372.02201897,16000000.0,1275499,48.23943875042548
80,437520,26441,204,395,3621372.02201897,16000000.0,1275499,48.23943875042548
81,437520,26286,204,395,3612892.146625871,16000000.0,1272722,48.418245453853764
82,437520,26441,204,395,3621372.02201897,16000000.0,1275499,48.23943875042548
83,437520,26441,204,395,3621372.02201897,16000000.0,1275499,48.23943875042548
84,437520,26441,204,395,3621372.02201897,16000000.0,1275499,48.23943875042548
85,437520,26441,204,395,3621372.02201897,16000000.0,1275499,48.23943875042548
86,437520,26286,204,395,3612892.146625871,16000000.0,1272722,48.418245453853764
87,437520,26441,204,395,3621372.02201897,16000000.0,1275499,48.23943875042548
88,437520,31181,212,395,3731062.632328971,16000000.0,1351327,43.338154645457166
89,437520,217020,363,395,-2426458.137928331,16000000.0,11486413,52.927900654317575
90,437520,219123,364,395,-2548364.005949389,16000000.0,11631017,53.07985469348266
91,437520,194665,354,395,-1223177.505966089,16000000.0,10024893,51.49817892276475
92,437520,190364,354,395,-1004857.7074159993,16000000.0,9752084,51.228614654031226
93,437520,202344,357,395,-1622166.8323300388,16000000.0,10517312,51.97738504724627
94,437520,223006,364,395,-2781175.96596761,16000000.0,11905715,53.38742006941517
95,267942,239457,214,214,-10301121.28936387,16000000.0,16000075,66.81815524290374
96,267942,238770,210,214,-10393269.908081222,16000000.0,16000074,67.01040331699963
97,267942,238770,210,214,-10393269.908081222,16000000.0,16000074,67.01040331699963
98,272907,239492,216,220,-10268561.081041593,16000000.0,16000005,66.80809797404507
99,344985,257326,288,297,-8491786.326570613,16000000.0,16000041,62.17809704421629
100,344985,257326,288,297,-8491786.326570613,16000000.0,16000041,62.17809704421629
101,344985,257326,288,297,-8491786.326570613,16000000.0,16000041,62.17809704421629
102,344985,257326,288,297,-8491786.326570613,16000000.0,16000041,62.17809704421629
103,344985,257326,288,297,-8491786.326570613,16000000.0,16000041,62.17809704421629
104,344985,257326,288,297,-8491786.326570613,16000000.0,16000041,62.17809704421629
105,339699,256505,286,291,-8534864.745985316,16000000.0,16000219,62.37780550086743
106,339699,256505,286,291,-8534864.745985316,16000000.0,16000219,62.37780550086743
107,437520,174180,342,395,-236461.06619186865,16000000.0,8755935,50.269462624870826
108,437520,166981,340,395,91806.04515897974,16000000.0,8321054,49.83234020637079
109,437520,232251,366,395,-3357054.8209004095,16000000.0,12574044,54.139891755040885
110,295480,245426,240,246,-9742908.33575493,16000000.0,16000067,65.19303985722784
111,286557,243070,232,234,-9875705.332979938,16000000.0,16000031,65.82478709836673
112,295480,245426,240,246,-9742908.33575493,16000000.0,16000067,65.19303985722784
